description,category,spec_pred
จอ LED Full Color ICE LED P2.5 Outdoor,Other Monitors,
Automatic Bag Feeding MachineGP-M3000UST,Auxiliary Packaging Machines,
(YS)   CS_Lotus's Ban Bueng-Mall Extension  >  Landscape work,Construction Services,item -
(YS)Counterbalance Electric จำนวน 2 Units,Lab Balances,
(TS) ค่าฉีดวัคซีนไข้หวัดใหญ่ ประจำปี 2568 (Store),Temporary Medical Staffing Needs,item -
สัญญาบริการรักษาความปลอดภัย CFDC ST,Security Guard Services,brand -|careerlevel -|gender -|item -|period -|shift -|workingday -|workinghour -
งานติดตั้งระบบผลิตน้ำ Recycle 400 ลบ.ม.,Water Prefilters,
ค่าบริการรับฝากสินค้า,Other Logistics Services,item -
"จ่ายเงินค่าเช่าล่วงหน้า (Premium) ชำระในวันลงนามสัญญาเช่าที่ดินSite : ST0575-MSA (CE) Paklok-Ya Mhu, Phuket (ป่าคลอก-ย่ามู, ภูเก็ต) : สั่งจ่าย นาย โยธา นึกความหลัง",Land Leases,item -|location -|period 1m
(TS)ค่าจ้างบริการและจัดหาทรัพยากรบุคคล Aug.2025 (2540001513),Human Resources Consulting Service,item -
SWITCH ARUBA 6100 24G CL4 4SFP+ SWITCH (P/N:JL677A),Fiber Rental Services,
(PT)[FMST361] Imp. Floor Sea Food 2025-SLH INTERNAL FITTINGS : H#10007 Pooled Minisuper \BDL_HY,Construction Services,item -
งานดูแลภูมิทัศน์ เขาชีจรรย์ ปีที่1,Landscaping Services,item -
"(TW)   CS_""Main Building""_Lotus's New Store HP_Phetchaburi  >  Architecture Design Fee (ref.QT.date : 21-มี.ค. 68)",Construction Services,item -
ตู้ 1CDBC,Counters,
ตู้ 36BSC 81-100 cm.,Counters,
(SS) Installment 2nd - Fidelity Guarantee Insurance (Period: 1/10/2024 - 30/09/2025),Fixed Annuity Policy,
(SS) Installment 3rd - Fidelity Guarantee Insurance (Period: 1/10/2024 - 30/09/2025),Fixed Annuity Policy,
(MP) Zebra - Vehicle-Mounted Computer VC8300,Car Pc,
